Year,District,Crime Category,Number of Cases,"Crime Rate per 100,000",Crime Severity,Crime Time,Crime Location,Weather Condition,Unemployment Rate (%),Poverty Level (%),Festival/Event,Population Density (per km²),Literacy Rate (%),Crime Hotspot,Repeat Offenses
2020,Tirunelveli,Murder,258,3.74,Low,Night,Industrial Zone,Sunny,3.98,12.81,Temple Festival,6414,76.12,No,1
2021,Salem,Drug Offenses,477,14.91,Medium,Night,Highway,Foggy,9.59,22.5,Diwali,12008,67.78,No,1
2020,Ramanathapuram,Murder,1145,54.52,High,Night,Industrial Zone,Foggy,10.7,17.07,Pongal,4891,72.33,No,1
2019,Ariyalur,Theft,842,12.2,High,Night,Urban Area,Sunny,8.53,24.46,Christmas,8625,84.75,Yes,2
2019,Erode,Domestic Violence,490,28.82,Medium,Evening,Rural Area,Rainy,6.77,22.88,Temple Festival,5656,82.9,No,1
2020,Tiruvannamalai,Fraud,1058,32.06,High,Morning,Residential Area,Foggy,8.91,19.27,No Event,8655,86.6,No,1
2019,Villupuram,Kidnapping,615,21.21,Medium,Evening,Residential Area,Sunny,10.95,29.16,Diwali,3286,78.77,No,1
2020,Chennai,Assault,159,4.42,Low,Night,Rural Area,Cloudy,10.98,11.3,Independence Day,14087,91.53,No,1
2019,Nilgiris,Theft,838,46.56,High,Afternoon,Residential Area,Rainy,8.56,28.34,Independence Day,4538,86.99,No,1
2019,Karur,Assault,283,3.01,Low,Morning,Urban Area,Rainy,9.07,21.93,Diwali,3718,72.37,No,1
2021,Ariyalur,Fraud,808,50.5,High,Morning,Urban Area,Stormy,11.24,13.69,Temple Festival,10570,94.25,No,1
2021,Tirunelveli,Kidnapping,718,7.33,Medium,Night,Highway,Foggy,9.88,11.07,Pongal,2953,66.37,No,1
2019,Coimbatore,Kidnapping,399,18.14,Low,Morning,Rural Area,Sunny,5.12,16.12,No Event,10745,94.85,No,1
2019,Tiruvarur,Fraud,920,14.6,High,Night,Rural Area,Stormy,7.66,19.71,Pongal,10901,80.99,No,1
2021,Namakkal,Kidnapping,276,6.73,Low,Afternoon,Commercial Area,Cloudy,5.16,10.94,Diwali,13726,93.25,No,1
2020,Nilgiris,Theft,929,11.61,High,Morning,Highway,Foggy,11.9,28.24,Independence Day,12575,90.63,No,1
2019,Krishnagiri,Kidnapping,619,8.84,Medium,Afternoon,Highway,Cloudy,7.13,29.04,Temple Festival,5006,89.92,No,1
2020,Vellore,Domestic Violence,151,8.39,Low,Night,Rural Area,Sunny,11.34,34.93,Temple Festival,9578,75.73,No,1
2021,Namakkal,Fraud,256,4.27,Low,Night,Urban Area,Stormy,11.25,19.91,No Event,3053,87.87,No,1
2019,Tiruvannamalai,Domestic Violence,394,9.61,Low,Evening,Industrial Zone,Sunny,7.28,26.89,Temple Festival,8581,85.53,No,1
2020,Villupuram,Fraud,522,5.61,Medium,Afternoon,Urban Area,Stormy,6.49,19.92,Independence Day,11289,74.26,No,1
2019,Perambalur,Robbery,228,22.8,Low,Morning,Highway,Sunny,9.96,10.67,No Event,4636,71.86,No,1
2021,Tirunelveli,Cyber Crime,789,13.15,Medium,Evening,Industrial Zone,Foggy,8.22,22.7,Independence Day,11653,76.72,No,1
2019,Kanyakumari,Fraud,494,16.47,Medium,Morning,Residential Area,Sunny,4.47,12.29,Independence Day,3719,77.24,No,1
2019,Theni,Kidnapping,854,9.38,High,Evening,Commercial Area,Foggy,10.04,10.3,No Event,4909,69.94,Yes,4
2019,Thoothukudi,Theft,819,8.62,High,Night,Rural Area,Cloudy,10.96,21.05,Christmas,3003,67.44,No,1
2021,Ramanathapuram,Fraud,918,28.69,High,Evening,Urban Area,Sunny,5.63,23.8,Pongal,9863,77.44,Yes,1
2019,Vellore,Murder,239,2.44,Low,Morning,Urban Area,Cloudy,3.92,23.65,Pongal,14283,75,No,1
2021,Salem,Robbery,866,12.03,High,Night,Rural Area,Rainy,9.77,12.58,Diwali,3640,86.6,No,1
2021,Erode,Kidnapping,1168,50.78,High,Afternoon,Residential Area,Foggy,9.03,13.92,Christmas,3025,87.21,No,1
2020,Virudhunagar,Fraud,754,8.47,Medium,Night,Industrial Zone,Rainy,5.1,24.6,Temple Festival,1018,88.28,No,1
2019,Namakkal,Assault,609,16.92,Medium,Evening,Urban Area,Foggy,9.92,19.77,Independence Day,9614,71.56,No,1
2020,Coimbatore,Cyber Crime,717,24.72,Medium,Evening,Residential Area,Cloudy,6.33,28.27,Christmas,14450,94.23,No,1
2020,Tiruchirappalli,Cyber Crime,1166,35.33,High,Morning,Urban Area,Stormy,6.54,17.05,Diwali,3374,79.98,No,1
2019,Pudukkottai,Burglary,376,6.27,Low,Night,Highway,Cloudy,6.52,15.81,Temple Festival,5934,92.6,No,1
2019,Salem,Robbery,937,11.29,High,Morning,Urban Area,Rainy,4.34,16.19,Christmas,7236,73,No,1
2020,Krishnagiri,Theft,458,11.45,Medium,Night,Commercial Area,Cloudy,3.17,33.64,Diwali,12626,92.62,No,1
2019,Perambalur,Assault,1047,13.96,High,Evening,Commercial Area,Stormy,11.35,29.42,Independence Day,9674,65.61,Yes,1
2020,Tiruvarur,Fraud,625,16.89,Medium,Evening,Rural Area,Sunny,11.76,24.54,Diwali,9338,92.19,No,1
